,x,y
0,-5.0,-8.262368541060079
1,-4.966555183946488,-7.69241139435782
2,-4.933110367892977,-7.358697914313971
3,-4.8996655518394645,-8.067487996294235
4,-4.866220735785953,-7.834256309613331
5,-4.832775919732441,-8.24752056555986
6,-4.79933110367893,-8.407860644800406
7,-4.765886287625418,-8.436442435590697
8,-4.7324414715719065,-8.598611178948246
9,-4.698996655518394,-8.262406032425275
10,-4.665551839464883,-8.403323808089809
11,-4.632107023411371,-7.723166631704506
12,-4.59866220735786,-7.807658012416946
13,-4.565217391304348,-8.032630978118421
14,-4.531772575250836,-7.2585267342863675
15,-4.498327759197324,-7.282794972453112
16,-4.464882943143813,-7.2915432262110516
17,-4.431438127090301,-7.547870480992999
18,-4.39799331103679,-7.741246338681918
19,-4.364548494983278,-6.912957871049303
20,-4.331103678929766,-7.143006454474999
21,-4.297658862876254,-7.861647134963694
22,-4.264214046822742,-6.253585101900251
23,-4.230769230769231,-6.750504530352043
24,-4.19732441471572,-4.901130893514814
25,-4.1638795986622075,-6.892946917419051
26,-4.130434782608695,-6.045315571983136
27,-4.096989966555184,-5.309447416089201
28,-4.063545150501672,-5.711105166133348
29,-4.030100334448161,-5.491977613117441
30,-3.9966555183946486,-7.132081145772574
31,-3.9632107023411374,-4.863684229328386
32,-3.9297658862876252,-4.242681394702897
33,-3.896321070234114,-4.115416597369357
34,-3.862876254180602,-5.374552612788025
35,-3.8294314381270906,-5.108601886998678
36,-3.7959866220735785,-4.554376292886053
37,-3.7625418060200673,-4.605566821845609
38,-3.729096989966555,-4.884139257945342
39,-3.6956521739130435,-4.995215739154777
40,-3.6622073578595318,-5.523482121162714
41,-3.62876254180602,-4.598815057447144
42,-3.5953177257525084,-4.545647610640099
43,-3.5618729096989967,-5.123766255090409
44,-3.528428093645485,-5.141952151260589
45,-3.4949832775919734,-4.46095823863951
46,-3.4615384615384617,-4.3345759292898105
47,-3.42809364548495,-4.9364351311532895
48,-3.3946488294314383,-5.232961283261768
49,-3.361204013377926,-4.090785185918475
50,-3.327759197324415,-4.337572561098587
51,-3.294314381270903,-4.204268550126421
52,-3.2608695652173916,-4.529673890531444
53,-3.2274247491638794,-4.612396876827828
54,-3.193979933110368,-4.200312747811596
55,-3.160535117056856,-4.873531474622522
56,-3.127090301003345,-4.577722950583324
57,-3.0936454849498327,-5.295526935222776
58,-3.0602006688963215,-4.438667719000583
59,-3.0267558528428093,-5.020427325538869
60,-2.9933110367892977,-4.9870490455668
61,-2.959866220735786,-5.435654911912418
62,-2.9264214046822743,-5.190638630722308
63,-2.8929765886287626,-5.571736570529797
64,-2.859531772575251,-5.546984129206882
65,-2.8260869565217392,-4.385326729988824
66,-2.7926421404682276,-4.543275458559723
67,-2.759197324414716,-4.289751567991703
68,-2.725752508361204,-5.3715510724370645
69,-2.6923076923076925,-5.277825729721557
70,-2.658862876254181,-4.456685845105543
71,-2.625418060200669,-4.9281744013171
72,-2.5919732441471575,-4.5104576326894055
73,-2.558528428093646,-3.8703282801358267
74,-2.525083612040134,-4.970516508164707
75,-2.491638795986622,-4.772997105524463
76,-2.4581939799331103,-4.450599396445721
77,-2.4247491638795986,-4.01547740321738
78,-2.391304347826087,-4.583737608263543
79,-2.3578595317725752,-3.949552581503826
80,-2.3244147157190636,-4.442531794666536
81,-2.290969899665552,-4.789180248567685
82,-2.25752508361204,-3.926340222698563
83,-2.2240802675585285,-4.09494117360829
84,-2.190635451505017,-3.4887380846452425
85,-2.157190635451505,-3.743715936760895
86,-2.1237458193979935,-3.141371973112297
87,-2.0903010033444818,-2.227990102463936
88,-2.05685618729097,-2.8586777849149385
89,-2.0234113712374584,-3.448962845135426
90,-1.9899665551839467,-3.3014827636616406
91,-1.956521739130435,-2.439030136063665
92,-1.9230769230769234,-2.8218286110299724
93,-1.8896321070234117,-2.441927178475134
94,-1.8561872909699,-1.4593242090186063
95,-1.8227424749163883,-2.0648752728145925
96,-1.7892976588628766,-2.063185611080015
97,-1.7558528428093645,-2.323638344960635
98,-1.7224080267558528,-1.3359212348816758
99,-1.6889632107023411,-1.3592653941891422
100,-1.6555183946488294,-0.3038775497032098
101,-1.6220735785953178,-1.6167688040191217
102,-1.588628762541806,-2.1836556065401247
103,-1.5551839464882944,-1.35807945838324
104,-1.5217391304347827,-1.7257484474863258
105,-1.488294314381271,-1.4282345664970817
106,-1.4548494983277593,-1.028250618874446
107,-1.4214046822742477,-1.2417584020048944
108,-1.387959866220736,-0.47010611062838525
109,-1.3545150501672243,-0.5805429301863788
110,-1.3210702341137126,-0.8600633807504343
111,-1.287625418060201,-0.5862610187889582
112,-1.2541806020066892,-0.9012394668733472
113,-1.2207357859531776,-1.7357397164138988
114,-1.1872909698996659,-1.1772181155676387
115,-1.1538461538461542,-1.786833522440499
